The Virginia Beach Police Department does not assume any liability for decisions made or actions taken or not taken by the recipient based on the information provided.

Every effort has been made to ensure the accuracy and completeness of the information provided. However, in some instances, cases of a sensitive nature that are under active investigation may be temporarily excluded from this site. Please refer to the user agreement statements located under the Related Documents link for more information. 

The data provided cannot be aggregated to calculate official crime volume and rates in Virginia Beach.  Official crime statistics can be found in the Virginia Beach Police Department Annual Reports.

About Neighborhood Crime: Information contained in this report is in Incident Based Reporting (IBR) format. Under IBR each offense (the crimes) that occurs during the incident (the event) is counted. This is in contrast to Uniform Crime Report (UCR) rules, where only the most severe offense is counted. For example, if a rape and robbery occurred in the same incident, under IBR both the rape and robbery are counted. Under the UCR system, only the rape is counted.  
Secondary crimes are denoted by an asterisk (*). The ATT/COM column refers to attempted or completed offenses. All victims involved in a Crime Against Persons are counted. For example, if an assault occurred with three victims, the report lists three lines of data. Motor vehicle thefts are counted once for each vehicle stolen. Unfounded incidents are excluded, meaning that after further investigation, the police determined that the reported crime did not actually occur. Incidents containing “Undetermined” in the Neighborhood column could not be matched to a neighborhood. The street number most likely fell outside the block range contained in our database.

About Incident Reports:  Information contained in this report represents the number of reports written by VBPD officers.  It is not in UCR or IBR format.
BRENNEMAN FARM                                              DRUG/ EQUIPMENT VIOLATIONS (35B )                                          1           
BRENNEMAN FARM                                              DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
BRENNEMAN FARM                                              FRAUD, ALL OTHERS (26A1)                                                   1           
BRENNEMAN FARM                                              FRAUD, IDENTITY THEFT (26A7)                                               2           
BRENNEMAN FARM                                              HIT & RUN (90ZC)                                                           2           
BRENNEMAN FARM                                              LARCENY, ALL OTHERS (23H )                                                 1           
BRENNEMAN FARM                                              LARCENY, FROM BUILDING (23D )                                              1           
BRENNEMAN FARM                                              LARCENY, FROM MOTOR VEHICLE (23F )                                         6           
BRENNEMAN FARM                                              MOTOR VEHICLE THEFT (240 )                                                 1           
BRENNEMAN FARM                                              OVERDOSE (90ZK)                                                            1           
BRENNEMAN FARM CONDOS IN KEMPSVILLE                         ASSAULT, SIMPLE, DOMESTIC (13B2)                                           4           
BRENNEMAN FARM CONDOS IN KEMPSVILLE                         DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
BRENNEMAN FARM CONDOS IN KEMPSVILLE                         FRAUD, IDENTITY THEFT (26A7)                                               3           
BRENNEMAN FARM CONDOS IN KEMPSVILLE                         LARCENY, ALL OTHERS (23H )                                                 1           
BRENNEMAN FARM CONDOS IN KEMPSVILLE                         LARCENY, FROM BUILDING (23D )                                              1           
BRENNEMAN FARM CONDOS IN KEMPSVILLE                         LARCENY, FROM MOTOR VEHICLE (23F )                                         5           
BRENNEMAN FARM IN KEMPSVILLE                                ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
BRENNEMAN FARM IN KEMPSVILLE                                ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
BRENNEMAN FARM IN KEMPSVILLE                                CRUELTY TO ANIMALS (90Z4)                                                  1           
BRENNEMAN FARM IN KEMPSVILLE                                DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
BRENNEMAN FARM IN KEMPSVILLE                                DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
BRENNEMAN FARM IN KEMPSVILLE                                HIT & RUN (90ZC)                                                           2           
BRENNEMAN FARM IN KEMPSVILLE                                INDECENT EXPOSURE (90ZE)                                                   1           
BRENNEMAN FARM IN KEMPSVILLE                                LARCENY, ALL OTHERS (23H )                                                 1           
BRENNEMAN FARM IN KEMPSVILLE                                LARCENY, FROM BUILDING (23D )                                              2           
BRENNEMAN FARM IN KEMPSVILLE                                LARCENY, FROM MOTOR VEHICLE (23F )                                         4           
BRIAR CLIFF POINT                                           DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
BRIAR CLIFF POINT                                           HIT & RUN (90ZC)                                                           1           
BRIDGETT`S LANDING IN KINGS POINT                           FRAUD, IDENTITY THEFT (26A7)                                               1           
BRIDLE CREEK APTS                                           ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       4           
BRIDLE CREEK APTS                                           ASSAULT, AGGRAVATED (13A1)                                                 1           
BRIDLE CREEK APTS                                           ASSAULT, SIMPLE (13B1)                                                     9           
BRIDLE CREEK APTS                                           ASSAULT, SIMPLE, DOMESTIC (13B2)                                           3           
BRIDLE CREEK APTS                                           BURGLARY/ B & E, RESIDENTIAL (220A)                                        2           
BRIDLE CREEK APTS                                           DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
BRIDLE CREEK APTS                                           DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           8           
BRIDLE CREEK APTS                                           DRUG/ EQUIPMENT VIOLATIONS (35B )                                          2           
BRIDLE CREEK APTS                                           DRUG/ NARCOTIC VIOLATIONS (35A1)                                           9           
BRIDLE CREEK APTS                                           FRAUD, CREDIT CARD (26B1)                                                  1           
BRIDLE CREEK APTS                                           FRAUD, IDENTITY THEFT (26A7)                                               1           
BRIDLE CREEK APTS                                           HIT & RUN (90ZC)                                                           3           
BRIDLE CREEK APTS                                           LARCENY, ALL OTHERS (23H )                                                 1           
BRIDLE CREEK APTS                                           LARCENY, FROM BUILDING (23D )                                              1           
BRIDLE CREEK APTS                                           LARCENY, FROM MOTOR VEHICLE (23F )                                         1           
BRIDLE CREEK APTS                                           OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
BRIDLE CREEK APTS                                           TRESPASS OF REAL PROPERTY (90J )                                           1           
BRIDLE CREEK APTS                                           WEAPON LAW VIOLATIONS (520A)                                               3           
BRIDLEWOOD IN INDIAN RIVER                                  DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
BRIDLEWOOD IN INDIAN RIVER                                  FRAUD, IDENTITY THEFT (26A7)                                               1           
BRIGADOON                                                   ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       1           
BRIGADOON                                                   ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       3           
BRIGADOON                                                   ARSON (200 )                                                               2           
BRIGADOON                                                   ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       2           
BRIGADOON                                                   ASSAULT, SIMPLE (13B1)                                                     14          
BRIGADOON                                                   ASSAULT, SIMPLE, DOMESTIC (13B2)                                           20          
BRIGADOON                                                   BURGLARY/ B & E, RESIDENTIAL (220A)                                        10          
BRIGADOON                                                   COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 1           
BRIGADOON                                                   CRUELTY TO ANIMALS (90Z4)                                                  3           
BRIGADOON                                                   DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              2           
BRIGADOON                                                   DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
BRIGADOON                                                   DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           16          
BRIGADOON                                                   DRUG/ EQUIPMENT VIOLATIONS (35B )                                          5           
BRIGADOON                                                   DRUG/ NARCOTIC VIOLATIONS (35A1)                                           14          
BRIGADOON                                                   FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        1           
BRIGADOON                                                   FRAUD, ALL OTHERS (26A1)                                                   3           
BRIGADOON                                                   FRAUD, CREDIT CARD (26B1)                                                  1           
BRIGADOON                                                   FRAUD, IDENTITY THEFT (26A7)                                               10          
BRIGADOON                                                   FRAUD, TRICK, FALSE PRETENSES (26A3)                                       3           
BRIGADOON                                                   FRAUD, USE FALSE NAME (26A6)                                               1           
BRIGADOON                                                   HIT & RUN (90ZC)                                                           9           
BRIGADOON                                                   LARCENY, ALL OTHERS (23H )                                                 8           
BRIGADOON                                                   LARCENY, FROM BUILDING (23D )                                              8           
BRIGADOON                                                   LARCENY, FROM MOTOR VEHICLE (23F )                                         20          
BRIGADOON                                                   LARCENY, SHOPLIFTING (23C )                                                1           
BRIGADOON                                                   LARCENY, TAMPERING WITH U.S. MAIL (23H2)                                   2           
BRIGADOON                                                   LARCENY, WATERCRAFT (23H3)                                                 1           
BRIGADOON                                                   OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
BRIGADOON                                                   OVERDOSE (90ZK)                                                            1           
BRIGADOON                                                   PEEPING TOM (90H )                                                         1           
BRIGADOON                                                   ROBBERY (120A)                                                             2           
BRIGADOON                                                   STALKING (13C5)                                                            2           
BRIGADOON                                                   TAMPERING WITH AUTO (290G)                                                 1           
BRIGADOON                                                   THREATEN BODILY HARM (13C4)                                                3           
BRIGADOON                                                   TRESPASS OF REAL PROPERTY (90J )                                           2           
BRIGADOON                                                   VIOLATE PROTECTIVE ORDER (90P )                                            3           
BRIGADOON                                                   WEAPON LAW VIOLATIONS (520A)                                               8           
BRIGADOON                                                   WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
BRIGADOON FOREST                                            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
BRIGADOON MEADOWS                                           LARCENY, ALL OTHERS (23H )                                                 1           
BRIGADOON MEADOWS                                           LARCENY, FROM MOTOR VEHICLE (23F )                                         2           
BRIGADOON PINES                                             ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
BRIGADOON PINES                                             ASSAULT, SIMPLE (13B1)                                                     4           
BRIGADOON PINES                                             ASSAULT, SIMPLE, DOMESTIC (13B2)                                           6           
BRIGADOON PINES                                             BURGLARY/ B & E, RESIDENTIAL (220A)                                        3           
BRIGADOON PINES                                             CURSING/ OBSCENE LANGUAGE (90B4)                                           1           
BRIGADOON PINES                                             DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           9           
BRIGADOON PINES                                             DRUG/ EQUIPMENT VIOLATIONS (35B )                                          2           
BRIGADOON PINES                                             DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
BRIGADOON PINES                                             FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           1           
BRIGADOON PINES                                             FORCIBLE INDECENT LIBERTIES (11B2)                                         1           
BRIGADOON PINES                                             FRAUD, CREDIT CARD (26B1)                                                  3           
BRIGADOON PINES                                             FRAUD, IDENTITY THEFT (26A7)                                               12          
BRIGADOON PINES                                             FRAUD, TRICK, FALSE PRETENSES (26A3)                                       2           
BRIGADOON PINES                                             FUGITIVE (OUT OF STATE) (90ZB)                                             1           
BRIGADOON PINES                                             HIT & RUN (90ZC)                                                           4           
BRIGADOON PINES                                             LARCENY, ALL OTHERS (23H )                                                 5           
BRIGADOON PINES                                             LARCENY, FROM BUILDING (23D )                                              4           
BRIGADOON PINES                                             LARCENY, FROM MOTOR VEHICLE (23F )                                         20          
BRIGADOON PINES                                             MOTOR VEHICLE THEFT (240 )                                                 1           
BRIGADOON PINES                                             PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
BRIGADOON PINES                                             RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
BRIGADOON PINES                                             THREATEN BODILY HARM (13C4)                                                4           
BRIGADOON PINES                                             VIOLATE PROTECTIVE ORDER (90P )                                            2           
BRIGADOON PINES                                             WEAPON LAW VIOLATIONS (520A)                                               2           
BRIGADOON PINES                                             WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
BRIGADOON WOODS                                             ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
BRIGADOON WOODS                                             ASSAULT, SIMPLE (13B1)                                                     1           
BRIGADOON WOODS                                             ASSAULT, SIMPLE, DOMESTIC (13B2)                                           2           
BRIGADOON WOODS                                             DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           5           
BRIGADOON WOODS                                             DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
BRIGADOON WOODS                                             FAMILY OFFENSE, NONVIOLENT, CHILD ABUSE (90F2)                             1           
BRIGADOON WOODS                                             FRAUD, ALL OTHERS (26A1)                                                   1           
BRIGADOON WOODS                                             FRAUD, CREDIT CARD (26B1)                                                  1           
BRIGADOON WOODS                                             FUGITIVE (OUT OF STATE) (90ZB)                                             1           
BRIGADOON WOODS                                             HIT & RUN (90ZC)                                                           1           
BRIGADOON WOODS                                             LARCENY, ALL OTHERS (23H )                                                 2           
BRIGADOON WOODS                                             LARCENY, FROM BUILDING (23D )                                              1           
BRIGADOON WOODS                                             LARCENY, FROM MOTOR VEHICLE (23F )                                         1           
BRIGADOON WOODS                                             THREATEN BODILY HARM (13C4)                                                2           
BRIGADOON WOODS                                             THROWING OBJECT AT MOVING VEHICLE (290H)                                   1           
BRIGAND`S QUAY                                              ASSAULT, SIMPLE, DOMESTIC (13B2)                                           2           
BRIGAND`S QUAY                                              BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
BRIGAND`S QUAY                                              COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 2           
BRIGAND`S QUAY                                              DRUG/ EQUIPMENT VIOLATIONS (35B )                                          3           
BRIGAND`S QUAY                                              DRUG/ NARCOTIC VIOLATIONS (35A1)                                           4           
BRIGAND`S QUAY                                              EMBEZZLEMENT (270A)                                                        1           
BRIGAND`S QUAY                                              FORCIBLE RAPE (11A )                                                       1           
BRIGAND`S QUAY                                              FRAUD, ALL OTHERS (26A1)                                                   1           
BRIGAND`S QUAY                                              FRAUD, AUTOMATIC TELLER (26B2)                                             1           
BRIGAND`S QUAY                                              FRAUD, IDENTITY THEFT (26A7)                                               1           
BRIGAND`S QUAY                                              FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
BRIGAND`S QUAY                                              HIT & RUN (90ZC)                                                           1           
BRIGAND`S QUAY                                              LARCENY, FROM BUILDING (23D )                                              1           
BRIGAND`S QUAY                                              LARCENY, FROM MOTOR VEHICLE (23F )                                         2           
BRIGAND`S QUAY                                              LARCENY, SHOPLIFTING (23C )                                                1           
BRIGAND`S QUAY                                              ROBBERY (120A)                                                             1           
BRIGAND`S QUAY                                              STATUTORY RAPE/ CARNAL KNOWLEDGE (36B )                                    1           
BRIGAND`S QUAY                                              THREATEN BODILY HARM (13C4)                                                1           
BRIGAND`S QUAY                                              TRESPASS OF REAL PROPERTY (90J )                                           1           
BRIGHTON ON THE BAY                                         ASSAULT, SIMPLE (13B1)                                                     1           
BRIGHTON ON THE BAY                                         DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           8           
BRIGHTON ON THE BAY                                         HIT & RUN (90ZC)                                                           2           
BRIGHTON ON THE BAY                                         LARCENY, ALL OTHERS (23H )                                                 1           
BRIGHTON ON THE BAY                                         LARCENY, FROM BUILDING (23D )                                              2           
BRIGHTON ON THE BAY                                         LARCENY, FROM MOTOR VEHICLE (23F )                                         11          
BRIGHTON ON THE BAY                                         THREATEN BODILY HARM (13C4)                                                1           
BRIGHTON ON THE BAY                                         TRESPASS OF REAL PROPERTY (90J )                                           1           
BRIGHTON ON THE BAY                                         UNAUTHORIZED USE OF AUTO (270B)                                            1           
BRIGHTON ON THE BAY                                         WEAPON LAW VIOLATIONS (520A)                                               1           
BRINKLEY ESTATES                                            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           2           
BRINKLEY ESTATES                                            BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
BRINKLEY ESTATES                                            DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
BRINKLEY ESTATES                                            FRAUD, IDENTITY THEFT (26A7)                                               1           
BRINKLEY ESTATES                                            LARCENY, FROM MOTOR VEHICLE (23F )                                         1           
BRINKLEY ESTATES                                            WEAPON LAW, DISCHARGE FIREARM IN DWELLING (520D)                           1           
BROAD BAY COLONY                                            ASSAULT, AGGRAVATED (13A1)                                                 2           
BROAD BAY COLONY                                            ASSAULT, SIMPLE (13B1)                                                     2           
BROAD BAY COLONY                                            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
BROAD BAY COLONY                                            BURGLARY/ B & E, RESIDENTIAL (220A)                                        2           
BROAD BAY COLONY                                            DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
BROAD BAY COLONY                                            DRUG/ EQUIPMENT VIOLATIONS (35B )                                          1           
BROAD BAY COLONY                                            DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
BROAD BAY COLONY                                            FRAUD, IDENTITY THEFT (26A7)                                               5           
BROAD BAY COLONY                                            HIT & RUN (90ZC)                                                           2           
BROAD BAY COLONY                                            LARCENY, ALL OTHERS (23H )                                                 9           
BROAD BAY COLONY                                            LARCENY, FROM BUILDING (23D )                                              6           
BROAD BAY COLONY                                            LARCENY, FROM MOTOR VEHICLE (23F )                                         7           
BROAD BAY COLONY                                            TAMPERING WITH AUTO (290G)                                                 1           
BROAD BAY COLONY                                            TRESPASS OF REAL PROPERTY (90J )                                           1           
BROAD BAY COLONY                                            WEAPON LAW VIOLATIONS (520A)                                               1           
BROAD BAY ESTATES                                           ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       2           
BROAD BAY ESTATES                                           ASSAULT, SIMPLE (13B1)                                                     1           
BROAD BAY ESTATES                                           ASSAULT, SIMPLE, DOMESTIC (13B2)                                           3           
BROAD BAY ESTATES                                           BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
BROAD BAY ESTATES                                           DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           6           
BROAD BAY ESTATES                                           DRUG/ NARCOTIC VIOLATIONS (35A1)                                           2           
BROAD BAY ESTATES                                           FRAUD, IDENTITY THEFT (26A7)                                               2           
BROAD BAY ESTATES                                           HIT & RUN (90ZC)                                                           2           
BROAD BAY ESTATES                                           LARCENY, ALL OTHERS (23H )                                                 12          
BROAD BAY ESTATES                                           LARCENY, FROM BUILDING (23D )                                              12          
BROAD BAY ESTATES                                           LARCENY, FROM MOTOR VEHICLE (23F )                                         5           
BROAD BAY ESTATES                                           PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
BROAD BAY ESTATES                                           TRESPASS OF REAL PROPERTY (90J )                                           1           
BROAD BAY POINT GREENS                                      BURGLARY/ B & E, COMMERCIAL (220B)                                         1           
BROAD BAY POINT GREENS                                      BURGLARY/ B & E, RESIDENTIAL (220A)                                        2           
BROAD BAY POINT GREENS                                      DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
BROAD BAY POINT GREENS                                      FRAUD, IDENTITY THEFT (26A7)                                               6           
BROAD BAY POINT GREENS                                      FRAUD, WIRE (26E )                                                         1           
BROAD BAY POINT GREENS                                      HIT & RUN (90ZC)                                                           2           
BROAD BAY POINT GREENS                                      LARCENY, ALL OTHERS (23H )                                                 3           
BROAD BAY POINT GREENS                                      LARCENY, FROM BUILDING (23D )                                              2           
BROAD BAY POINT GREENS                                      LARCENY, FROM MOTOR VEHICLE (23F )                                         7           
BROAD BAY POINT GREENS                                      OVERDOSE (90ZK)                                                            1           
BROAD BAY POINT GREENS                                      THREATEN BODILY HARM (13C4)                                                1           
BROAD BAY POINT GREENS                                      UNAUTHORIZED USE OF AUTO (270B)                                            1           
BROAD MEADOWS                                               ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       4           
BROAD MEADOWS                                               ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       3           
BROAD MEADOWS                                               ARSON (200 )                                                               1           
BROAD MEADOWS                                               ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       1           
BROAD MEADOWS                                               ASSAULT, SIMPLE (13B1)                                                     19          
BROAD MEADOWS                                               ASSAULT, SIMPLE, DOMESTIC (13B2)                                           20          
BROAD MEADOWS                                               BURGLARY/ B & E, RESIDENTIAL (220A)                                        5           
BROAD MEADOWS                                               CONSPIRACY TO COMMIT GROUP B OFFENSE (90Y )                                1           
BROAD MEADOWS                                               CURSING/ OBSCENE LANGUAGE (90B4)                                           1           
BROAD MEADOWS                                               DESTRUCTION OF PROPERTY, CITY - GRAFFITI (290C)                            1           
BROAD MEADOWS                                               DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         6           
BROAD MEADOWS                                               DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           15          
BROAD MEADOWS                                               DRUG/ EQUIPMENT VIOLATIONS (35B )                                          1           
BROAD MEADOWS                                               DRUG/ NARCOTIC VIOLATIONS (35A1)                                           5           
BROAD MEADOWS                                               FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        1           
BROAD MEADOWS                                               FORCIBLE RAPE (11A )                                                       3           
BROAD MEADOWS                                               FRAUD, ALL OTHERS (26A1)                                                   1           
BROAD MEADOWS                                               FRAUD, IDENTITY THEFT (26A7)                                               5           
BROAD MEADOWS                                               FRAUD, WELFARE (26D )                                                      1           
BROAD MEADOWS                                               HIT & RUN (90ZC)                                                           8           
BROAD MEADOWS                                               LARCENY, ALL OTHERS (23H )                                                 8           
BROAD MEADOWS                                               LARCENY, FROM BUILDING (23D )                                              9           
BROAD MEADOWS                                               LARCENY, FROM MOTOR VEHICLE (23F )                                         15          
BROAD MEADOWS                                               MOTOR VEHICLE THEFT (240 )                                                 3           
BROAD MEADOWS                                               ROBBERY (120A)                                                             1           
BROAD MEADOWS                                               SEXUAL BATTERY (11D2)                                                      1           
BROAD MEADOWS                                               THREATEN BODILY HARM (13C4)                                                3           
BROAD MEADOWS                                               TRESPASS OF REAL PROPERTY (90J )                                           1           
BROAD MEADOWS                                               UNAUTHORIZED USE OF AUTO (270B)                                            3           
BROAD MEADOWS                                               VIOLATE PROTECTIVE ORDER (90P )                                            1           
BROAD MEADOWS                                               WEAPON LAW VIOLATIONS (520A)                                               2           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       4           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            ARSON (200 )                                                               1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       3           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            ASSAULT, SIMPLE (13B1)                                                     23          
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           20          
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            BURGLARY/ B & E, RESIDENTIAL (220A)                                        4           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            CRUELTY TO ANIMALS (90Z4)                                                  1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           22          
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            DISTURBING THE PEACE (90C2)                                                1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            DRUG/ EQUIPMENT VIOLATIONS (35B )                                          11          
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            DRUG/ NARCOTIC VIOLATIONS (35A1)                                           20          
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            FRAUD, ALL OTHERS (26A1)                                                   2           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            FRAUD, CREDIT CARD (26B1)                                                  1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            FRAUD, IDENTITY THEFT (26A7)                                               2           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            FRAUD, WELFARE (26D )                                                      1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            HIT & RUN (90ZC)                                                           3           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            INDECENT EXPOSURE (90ZE)                                                   1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            LARCENY, ALL OTHERS (23H )                                                 13          
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            LARCENY, FROM BUILDING (23D )                                              3           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            LARCENY, FROM MOTOR VEHICLE (23F )                                         33          
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            MOTOR VEHICLE THEFT (240 )                                                 5           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            ROBBERY (120A)                                                             2           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            SEXUAL BATTERY (11D2)                                                      2           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            STATUTORY RAPE/ CARNAL KNOWLEDGE (36B )                                    1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            TAMPERING WITH AUTO (290G)                                                 1           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            THREATEN BODILY HARM (13C4)                                                2           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            TRESPASS OF REAL PROPERTY (90J )                                           5           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            UNAUTHORIZED USE OF AUTO (270B)                                            4           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            VIOLATE PROTECTIVE ORDER (90P )                                            2           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            WEAPON LAW VIOLATIONS (520A)                                               3           
BROOKFIELD APTS/INDIAN CREEK APTS IN LEVEL GREEN            WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     4           
BROOKFIELD CROSSING IN LARK DOWNS                           ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       1           
BROOKFIELD CROSSING IN LARK DOWNS                           DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
BROOKFIELD CROSSING IN LARK DOWNS                           DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
BROOKFIELD CROSSING IN LARK DOWNS                           LARCENY, FROM MOTOR VEHICLE (23F )                                         2           
BROOKFIELD CROSSING IN LARK DOWNS                           TAMPERING WITH AUTO (290G)                                                 1           
BROOKFIELD CROSSING IN LARK DOWNS                           WEAPON LAW VIOLATIONS (520A)                                               1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     ASSAULT, SIMPLE (13B1)                                                     1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     ASSAULT, SIMPLE, DOMESTIC (13B2)                                           5           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     DISTURBING THE PEACE (90C2)                                                1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     FRAUD, CREDIT CARD (26B1)                                                  1           
BROOKGREEN COMMONS IN CHELTENHAM SQUARE                     FRAUD, IDENTITY THEFT (26A7)                                               2           
